parcelid,xcoord_p,ycoord_p,long,lat,sqft_p,taz_p,lutype_p,hh_p,stugrd_p,stuhgh_p,stuuni_p,empedu_p,empfoo_p,empgov_p,empind_p,empmed_p,empofc_p,empret_p,empsvc_p,empoth_p,emptot_p,parkdy_p,parkhr_p,ppricdyp,pprichrp
11394,1627089,424729,-87.1468964,35.4947014,46385,1428,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
11395,1633575,420014,-87.1261978,35.4830017,715193,1428,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
11396,1621896,408058,-87.1636963,35.4487,44627,1428,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
11397,1636791,416790,-87.1140976,35.4732018,3141131,1428,1,5.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
11398,1624918,412625,-87.153801,35.4612999,734233,1428,1,4.71,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
11399,1622821,414960,-87.1608963,35.467701,42904622,1428,1,22.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
11400,1625032,407265,-87.1531982,35.4466019,8752743,1428,1,3.14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
11401,1628167,419933,-87.1430969,35.4814987,7226943,1428,1,11.0,0,0,0,0.69,0.0,0.69,0.0,0.69,4.16,0.0,1.39,0.0,7.63,0,0,0,0
11402,1629594,415707,-87.1381989,35.470001200000006,1700520,1428,1,0.79,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
11403,1624879,417890,-87.1540985,35.4757996,343943,1428,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
