parcelid,xcoord_p,ycoord_p,long,lat,sqft_p,taz_p,lutype_p,hh_p,stugrd_p,stuhgh_p,stuuni_p,empedu_p,empfoo_p,empgov_p,empind_p,empmed_p,empofc_p,empret_p,empsvc_p,empoth_p,emptot_p,parkdy_p,parkhr_p,ppricdyp,pprichrp
1,1793633,710742,-86.5932999,36.2844009,408235,2271,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1793969,709338,-86.5921021,36.2806015,426155,2271,1,11.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1794970,705958,-86.5886993,36.2713013,968400,2271,1,16.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1792470,711655,-86.5972977,36.2868996,549495,2271,1,11.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1793562,711319,-86.5935974,36.2859993,340766,2271,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1792293,710777,-86.5978012,36.2845001,866770,2271,1,12.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1793218,710386,-86.5947037,36.2834015,872294,2271,1,22.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1794121,710917,-86.5929031,36.2855988,2035279,2271,1,57.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1791634,711222,-86.6000977,36.2857018,938185,2271,1,11.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1794794,707145,-86.5893021,36.274601,1328236,2271,1,25.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1794302,708590,-86.5910034,36.2784996,634991,2271,1,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1794417,709356,-86.5905991,36.2806015,416929,2271,1,11.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1793852,707263,-86.5951004,36.2733994,9011263,2271,1,92.95,0,46,0,0,356.45,0,1.43,0,2.44,0,22.18,4.6,387.1,0,0,0,0
14,1791605,701935,-86.5999985,36.2602005,535339,2271,1,11.04,0,0,0,0,0,0,4.29,0,0.22,0,0,4.28,8.78,0,0,0,0
15,1793771,705368,-86.5926971,36.2696991,1061011,2271,1,23.01,0,0,0,0,0,0,0,0,0.44,0,0,0,0.44,0,0,0,0
16,1792036,701045,-86.594902,36.2563019,3125794,2273,1,55.04,0,0,0,0,0,0,0.65,0,8.25,0,0,0,8.9,0,0,0,0
