parcelid,xcoord_p,ycoord_p,long,lat,sqft_p,taz_p,lutype_p,hh_p,stugrd_p,stuhgh_p,stuuni_p,empedu_p,empfoo_p,empgov_p,empind_p,empmed_p,empofc_p,empret_p,empsvc_p,empoth_p,emptot_p,parkdy_p,parkhr_p,ppricdyp,pprichrp
17,1793607,702677,-86.5932007,36.2622986,815802,2273,1,24.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1794411,702012,-86.5904999,36.2605019,1428529,2273,1,39.82,0,0,0,0,0,0,1.3,0,12.37,0,0,0,13.68,0,0,0,0
19,1793193,703094,-86.5945969,36.263401,782486,2273,1,16.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1792780,701909,-86.5960007,36.2601013,440490,2273,1,14.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1793791,701860,-86.592598,36.2599983,556244,2273,1,18.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1793294,701686,-86.5942993,36.2594986,418585,2273,1,11.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1795021,699701,-86.5884018,36.2541008,5048,2273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1792155,701610,-86.5980988,36.2593002,335484,2273,1,9.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1792388,702372,-86.5973969,36.2613983,590046,2273,1,11.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1794370,700116,-86.5905991,36.2551994,1678317,2273,1,46.84,0,0,0,0,0,0,0.33,0,4.12,0,0,0,4.45,0,0,0,0
27,1795367,700268,-86.5888977,36.2541008,1060482,2273,1,36.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1794679,705251,-86.5895996,36.2694016,1174426,2272,1,29.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1796686,701719,-86.5828018,36.2597008,70445,2272,1,5.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1796077,701541,-86.5848007,36.259201,5548,2272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1795085,703677,-86.5882034,36.2649994,1739763,2272,1,35.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1793813,704039,-86.592598,36.2659988,752042,2272,1,17.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1795361,701858,-86.5873032,36.2599983,2479988,2272,1,83.84,0,0,0,0,0.41,0,0,0,0,0.41,5.16,0.89,6.87,0,0,0,0
34,1795664,704259,-86.5863037,36.2666016,324180,2272,1,12.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1796090,704722,-86.5848007,36.2678986,2419021,2272,1,62.02,0,0,0,0,0.41,0,0,0,5.16,0.41,0,0.89,6.87,0,0,0,0
36,1796406,703705,-86.5837021,36.2650986,734286,2272,1,27.57,0,0,0,0,0.21,0,0,0,5.16,0.21,0,0.44,6.01,0,0,0,0
37,1794429,704060,-86.5904999,36.2661018,946130,2272,1,29.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1797240,702387,-86.5809021,36.2615013,5016659,2272,1,186.07,0,0,0,0,1.44,0,0,0,5.16,1.44,30.94,3.11,42.08,0,0,0,0
39,1796143,700859,-86.5846024,36.2573013,34239,2272,1,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1790838,714538,-86.6028976,36.2947998,545371,2290,1,13.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1790344,714448,-86.6044998,36.2944984,1161686,2290,1,30.65,0,0,0,0,0,0,0.04,0,31.07,0,0,0.35,31.45,0,0,0,0
42,1790985,715936,-86.6024017,36.2985992,922291,2290,1,22.47,0,0,0,0,0,0,0.01,0,12.43,0,0,0.14,12.58,0,0,0,0
43,1790614,715207,-86.6035995,36.2966003,283784,2290,1,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1791535,713514,-86.600502,36.2919998,436991,2290,1,13.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1792281,712571,-86.5979004,36.2893982,731016,2290,1,27.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1789907,716122,-86.606102,36.299099,900978,2290,1,21.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1791629,714058,-86.6001968,36.293499,373522,2290,1,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1790442,716542,-86.6042023,36.3003006,634751,2290,1,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1791876,714740,-86.5992966,36.2953987,1550757,2290,1,56.18,0,0,0,0,130.28,0,0.9,0,31.07,0,0,8.4,170.64,0,0,0,0
50,1791594,712374,-86.6003036,36.2888985,761412,2290,1,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1791441,715514,-86.6007996,36.2975006,644806,2290,1,16.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1790962,716865,-86.6025009,36.3012009,656694,2290,1,4.09,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1792260,713504,-86.5979996,36.2919998,676640,2290,1,21.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1796853,711274,-86.5823975,36.2859001,378372,2270,1,16.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1795537,710861,-86.5867996,36.2848015,1163558,2270,1,49.32,0,0,0,4.01,0.29,0,0,0,0,0.29,0,0,4.58,0,0,0,0
56,1795929,709973,-86.5855026,36.282299,6608,2270,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1796676,710984,-86.5830002,36.285099,305719,2270,1,12.76,0,0,0,0,0.57,0,2.18,0,0,0.57,0,0,3.32,0,0,0,0
58,1796238,710562,-86.5845032,36.2840004,282010,2270,1,10.21,0,0,0,0,0.1,0,0,0,1.34,0.1,0,0,1.53,0,0,0,0
59,1795910,711791,-86.5856018,36.2873001,1211156,2270,1,39.12,0,0,0,0,0.19,0,0.73,0,0,0.19,0,0,1.11,0,0,0,0
60,1794899,711067,-86.5889969,36.2853012,1837813,2270,1,59.53,0,0,0,0,0.1,0,0.36,0,0,0.1,0,0,0.55,0,0,0,0
61,1795616,708878,-86.5865021,36.2793007,2667449,2274,1,66.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1795887,709713,-86.5856018,36.281601,13469,2274,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1795380,707142,-86.5873032,36.274601,12324,2274,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1795816,707592,-86.5858002,36.2757988,2025854,2274,1,70.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1796559,708831,-86.5832977,36.2792015,973467,2274,1,22.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1796774,709424,-86.5826035,36.2807999,1128226,2274,1,18.76,0,0,0,0,0,0,0,0,112.79,0,0,0,112.79,0,0,0,0
67,1795789,706611,-86.5858994,36.2731018,870269,2274,1,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1788981,716433,-86.6091995,36.2999992,3749902,2291,1,42.73,0,0,0,0,0,0,0,28.87,3.16,0,0,1.78,33.8,0,0,0,0
69,1789318,716151,-86.6081009,36.2991982,552312,2291,1,17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1790923,712745,-86.6025009,36.2899017,1577307,2291,1,26.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1789710,718085,-86.6067963,36.3045006,8906,2292,1,3.27,0,0,0,0,0,0,0,0,0,0,2.2,0,2.21,0,0,0,0
72,1789368,718093,-86.6080017,36.3045006,15260,2292,1,1.09,0,0,0,0,0,0,0,0,0,0,2.2,0,2.21,0,0,0,0
73,1789966,717374,-86.6059036,36.3026009,1201623,2292,1,10.91,0,1463,0,0,0,0,0.37,0,90.34,0,185.09,3.39,279.2,0,0,0,0
74,1789148,718595,-86.6087036,36.3059006,188632,2292,1,0,0,0,0,0,0,0,0.07,13.22,13.22,0,0,30.53,57.04,0,0,0,0
75,1789842,718348,-86.6063004,36.3051987,1858831,2292,1,29.47,579,0,0,0,0,0,0.5,2.2,114.58,0,251.2,3.39,371.87,0,0,0,0
76,1792994,717060,-86.5955963,36.3017998,594330,2293,1,20.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1791996,717202,-86.598999,36.3021011,1635785,2293,1,59.7,0,0,0,0,0,0,0,0,0,0,0,5.33,5.33,0,0,0,0
78,1792433,715719,-86.5975037,36.2980995,742056,2293,1,32.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1792312,716367,-86.5979004,36.2998009,808360,2293,1,33.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1793976,714545,-86.5922012,36.294899,505215,2268,1,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1793143,715208,-86.5951004,36.2966995,494776,2268,1,23.94,0,0,0,0,0,0,0,0,51.06,0,0,0,51.06,0,0,0,0
82,1794422,713559,-86.5906982,36.2921982,8435671,2268,1,126.53,0,0,0,0,0,0,0,0,0,0,12.77,0,12.77,0,0,0,0
83,1793499,714788,-86.5938034,36.2955017,428636,2268,1,10.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1793277,714006,-86.5945969,36.2933998,211887,2268,1,7.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1794573,712347,-86.5901031,36.2887993,9594,2268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1793818,713698,-86.5926971,36.2924995,364191,2268,1,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1794041,717216,-86.5920029,36.3022003,5631941,2268,1,150.47,0,0,0,0,0,0,0,0,12.77,9.84,0,0,22.6,0,0,0,0
88,1794390,712134,-86.5907974,36.2882996,15943,2268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1795788,714942,-86.5860977,36.2960014,2666815,2268,1,104.87,0,0,0,0,0,0,0,0,38.3,0,12.77,0,51.06,0,0,0,0
90,1792820,714685,-86.5960999,36.2952003,506528,2268,1,15.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1796994,712846,-86.5819016,36.2902985,351309,2269,1,13.75,0,0,0,0,0,0,0.18,0,0,0,0,0,0.18,0,0,0,0
92,1797559,709699,-86.5800018,36.281601,11333,2269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1797691,712134,-86.5795975,36.2882996,6663834,2269,1,127.16,0,0,0,0,17.21,0,2.1,0,51.93,0,0,18.12,89.35,0,0,0,0
94,1796689,713189,-86.5830002,36.2911987,454850,2269,1,16.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1796767,714074,-86.5827026,36.2935982,383896,2269,1,12.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1796694,712171,-86.582901,36.2883987,839228,2269,1,26.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1799745,712113,-86.5726013,36.2882996,1862675,2275,1,14.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1798455,708991,-86.5746994,36.2807007,6155420,2275,1,53.56,0,0,0,0,0,0,0.63,17.18,11.45,0,0,16.19,45.46,0,0,0,0
99,1797748,703459,-86.5792007,36.2644997,1614019,2275,1,46.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1800368,707152,-86.5703964,36.2747002,1232683,2275,1,7.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1797835,708272,-86.5790024,36.2776985,1829942,2275,1,35.32,0,0,0,0,0,0,0.38,0,0,0,0,9.72,10.1,0,0,0,0
102,1797490,704411,-86.580101,36.2671013,1260816,2275,1,42.16,0,0,0,0,0,0,0.13,0,0,0,5.73,3.24,9.09,0,0,0,0
103,1798341,706017,-86.5772018,36.2714996,10312106,2275,1,118.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1799196,711553,-86.5744019,36.2867012,2214528,2275,1,26.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1797463,717130,-86.5803986,36.3019981,43096,2288,1,19.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1797233,716640,-86.5811996,36.3007011,16829,2288,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1797433,715051,-86.5804977,36.296299,1738336,2288,1,66.88,0,0,0,0,0,0,0,0,0,0,0,0.76,0.76,0,0,0,0
108,1798946,716345,-86.5754013,36.2999001,230462,2288,1,23.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,1799020,714845,-86.5751038,36.2957993,6519155,2288,1,193.09,0,0,0,0,0,0,1.91,0,0,0,5.05,3.55,10.51,0,0,0,0
110,1797125,715912,-86.5815964,36.2986984,300621,2288,1,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1797013,717032,-86.5820007,36.3017998,444897,2288,1,75.51,0,0,0,0,0,0,0,0,25.23,0,0,2.54,27.77,0,0,0,0
112,1798183,714929,-86.5779037,36.2960014,249413,2288,1,14.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1796764,716767,-86.5828018,36.3009987,92837,2288,1,16.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,1797328,716772,-86.5809021,36.3009987,190163,2288,1,35.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1798049,716554,-86.5783997,36.300499,204281,2288,1,15.1,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0
116,1788413,718848,-86.6111984,36.3065987,475509,2295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,1791793,723894,-86.5998001,36.3204994,129946,2295,1,0,0,0,0,0,4.92,0,0.16,0,3.88,4.92,7.75,0,21.63,0,0,0,0
118,1790497,719706,-86.6041031,36.3089981,67620,2295,1,0,0,0,0,0,1.64,0,5.65,7.75,0,6.57,7.75,0,29.36,0,0,0,0
119,1790428,721934,-86.604599,36.3148003,107892,2295,1,0,0,0,0,0,4.92,0,5.75,7.75,0,8.21,0,0,26.63,0,0,0,0
120,1790727,721555,-86.6034012,36.3140984,10249753,2295,1,0,0,0,0,0,431.66,0,157.05,344.93,426.31,666.36,558.08,59.36,2643.75,0,0,0,0
121,1792885,718511,-86.5960007,36.3056984,735206,2299,1,28.02,0,0,0,5.88,0,2.94,0.64,0,326.61,0,0,0,336.07,0,0,0,0
122,1791848,718001,-86.5995026,36.3042984,595006,2299,1,29.09,0,0,0,0,0,0,0.14,0,41.19,7.29,0,46.06,94.68,0,0,0,0
123,1791261,719602,-86.6015015,36.3087006,327525,2299,1,0,0,0,0,0,32.79,0,0.15,0,8.83,54.64,0,0,96.41,0,0,0,0
124,1790653,719266,-86.6035995,36.3078003,535301,2299,1,0,0,0,0,0,36.43,0,0.23,0,14.71,87.43,5.88,0,144.69,0,0,0,0
125,1791163,718806,-86.6018982,36.3064995,1015532,2299,1,0,0,0,0,0,94.72,0,0.45,0,14.71,167.58,2.94,0,280.39,0,0,0,0
126,1792035,719081,-86.5988998,36.3073006,2987824,2299,1,72.2,0,0,0,0,10.93,0,0.67,105.93,164.78,14.57,2.94,184.24,484.06,0,0,0,0
127,1793420,720949,-86.5942001,36.3125,195524,2286,1,0,0,0,0,0,3.7,0,0,0,3.91,0.93,0.98,0.14,9.66,0,0,0,0
128,1795231,721045,-86.5880966,36.3126984,188178,2286,1,0,0,0,0,0,3.7,0,0,0,0.98,5.56,0.98,0.17,11.39,0,0,0,0
129,1794682,719097,-86.5895004,36.3092995,3157936,2286,1,196.18,0,0,0,0,36.11,0,9.55,0.98,56.64,62.96,11.72,2.66,180.62,0,0,0,0
130,1794807,721754,-86.5895004,36.3147011,80106,2286,1,0,0,0,0,0,0.93,0,0,0,0,0.93,0,0.03,1.88,0,0,0,0
131,1793796,719461,-86.5929031,36.3083992,1272724,2286,1,68.9,0,0,0,0,21.3,0,1.59,0,22.46,25,4.88,1.14,76.38,0,0,0,0
132,1794991,721031,-86.5888977,36.3126984,411217,2286,1,0,0,0,0,0,3.7,0,1.59,0,4.88,7.41,1.95,0.29,19.83,0,0,0,0
133,1793995,720692,-86.5923004,36.3117981,467981,2286,1,0,0,0,0,0,2.78,0,0,0,9.77,6.48,0.98,0.3,20.31,0,0,0,0
134,1792996,720188,-86.5957031,36.3103981,844524,2286,1,17.52,0,0,0,0,0,0,0,25.39,50.78,12.96,11.72,1.5,102.36,0,0,0,0
135,1795638,719825,-86.5867004,36.3093987,629986,2286,1,36.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,1794799,720038,-86.5895004,36.3100014,477450,2286,1,21.02,0,0,0,0,5.56,0,0,0,11.72,6.48,0.98,0.38,25.11,0,0,0,0
137,1795002,721432,-86.5888977,36.3138008,179153,2286,1,0,0,0,0,0,3.7,0,0,0,7.81,2.78,0.98,0.23,15.5,0,0,0,0
138,1794139,720198,-86.5917969,36.3103981,227188,2286,1,0,0,0,0,0,4.63,0,1.59,0,5.86,3.7,0.98,0.25,17.01,0,0,0,0
139,1795667,716941,-86.5865021,36.3014984,8675,2287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1795117,717416,-86.5884018,36.3027992,5191,2287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,1796497,716721,-86.5837021,36.3008995,227825,2287,1,30.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,1795997,716465,-86.5854034,36.3002014,2909034,2287,1,165.1,0,0,0,0,0,0,1.37,0,0,0,0,3.2,4.57,0,0,0,0
143,1795438,717981,-86.5873032,36.3042984,958347,2287,1,101.6,0,0,0,0,0,0,0.76,0,0,0,0,1.78,2.54,0,0,0,0
144,1795308,717535,-86.5877991,36.3031006,8273,2287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,1795818,716515,-86.5859985,36.3003006,45278,2287,1,0,0,0,0,0,0,0,0.15,0,0,0,0,0.36,0.51,0,0,0,0
146,1795345,716955,-86.5876007,36.3014984,7944,2287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,1795672,717665,-86.5865021,36.3035011,12702,2287,1,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,1795583,716656,-86.5868988,36.3008995,11339,2287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,1791828,725547,-86.5997009,36.3250999,2448307,2225,1,237.21,0,0,0,0,1.74,0,0.1,1.01,0,0,0,0,2.85,0,0,0,0
150,1792798,727206,-86.5964966,36.3296013,2044068,2225,1,0,0,0,0,0,2.24,0,0.12,0,0,0,0,0,2.36,0,0,0,0
151,1789952,724819,-86.606102,36.3230019,536720,2225,1,33.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,1793000,726240,-86.5958023,36.3269997,188458,2225,1,0,0,0,0,0,0.12,0,0.01,0,0,0,0,0,0.13,0,0,0,0
153,1791129,728336,-86.6022034,36.3326988,254188,2225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,1793302,728395,-86.5948029,36.332901,54453,2225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,1793567,726446,-86.5938034,36.3275986,102035,2225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,1792876,725839,-86.5962982,36.3255997,81290,2225,1,0,0,0,0,0,0.12,0,0.01,0,0,0,0,0,0.13,0,0,0,0
157,1793558,726779,-86.5940018,36.3286018,47119,2225,1,0,0,0,0,0,0.12,0,0.01,0,0,0,0,0,0.13,0,0,0,0
158,1793278,728145,-86.594902,36.3321991,339170,2225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,1792471,728327,-86.5976028,36.3326988,115668,2225,1,0,0,0,0,0,0,0,0.01,0,0,0.12,0,0,0.13,0,0,0,0
160,1790486,725190,-86.6043015,36.3241005,2750988,2225,1,73.27,0,0,0,0,0,0,0.08,3.03,1.01,0.75,1.01,0,5.87,0,0,0,0
161,1790978,727479,-86.6026993,36.3302994,4263537,2225,1,89.42,449,0,0,0,0,1.01,0.16,7.07,3.03,1.12,3.03,0,15.41,0,0,0,0
162,1793622,727602,-86.5936966,36.3306999,10001,2225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,1790133,727631,-86.6054993,36.3306999,477813,2225,1,39.74,0,0,0,0,0,0,0.03,1.01,0,0.5,0,0,1.54,0,0,0,0
164,1790406,726278,-86.604599,36.3269997,337195,2225,1,23.6,0,0,0,0,0,0,0.01,0,0,0.12,0,0,0.13,0,0,0,0
165,1789407,723862,-86.6079025,36.3204002,570378,2225,1,38.5,0,0,0,0,5.84,0,1.71,3.03,61.58,9.32,7.07,0,88.54,0,0,0,0
166,1793212,725657,-86.5950012,36.3254013,865314,2225,1,0,0,0,0,0,0.62,0,0.04,0,1.01,0,0,0,1.67,0,0,0,0
167,1793306,723523,-86.5947037,36.3195,5261893,2298,1,0,0,0,0,0,464.54,0,1.66,31.96,63.91,571,95.87,7.1,1236.03,0,0,0,0
168,1791766,722203,-86.5997009,36.3156013,57310,2298,1,0,0,0,0,0,4.84,0,0,1.88,0,0,0,0,6.72,0,0,0,0
169,1792331,722528,-86.5979996,36.3167992,3499554,2298,1,0,0,0,0,0,459.7,0,1.2,39.47,77.07,633.91,82.71,0,1294.06,0,0,0,0
170,1792799,723570,-86.5969009,36.3195,85989,2298,1,0,0,0,0,0,4.84,0,0,0,1.88,9.68,0,0,16.4,0,0,0,0
171,1795161,722291,-86.5883026,36.3162003,173911,2296,1,4.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,1795157,723416,-86.5884018,36.3193016,607291,2296,1,30.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,1793957,721548,-86.5923996,36.3140984,15299,2296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,1795636,723850,-86.5867996,36.3204994,364580,2296,1,19.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,1796027,723775,-86.5854034,36.3203011,444033,2296,1,28.04,0,0,0,0,0,0,6.78,0,18.43,0,0,2.37,27.58,0,0,0,0
176,1796941,723223,-86.5822983,36.3188019,141164,2296,1,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,1796339,722928,-86.5858994,36.3200989,1915267,2296,1,84.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,1796895,724676,-86.5824966,36.3227005,756920,2296,1,25.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,1795086,725082,-86.5886993,36.3237991,193287,2296,1,7.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,1796058,724990,-86.5854034,36.3236008,1052761,2296,1,30.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,1795531,722914,-86.5870972,36.3179016,590742,2296,1,25.03,0,0,0,0,0,0,6.78,0,18.43,0,0,2.37,27.58,0,0,0,0
182,1794452,723728,-86.5907974,36.3200989,3462652,2296,1,3,0,0,0,0,0,0,6.78,0,18.43,0,0,2.37,27.58,0,0,0,0
183,1793907,721606,-86.592598,36.3143005,16514,2296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,1799013,716694,-86.5752029,36.3008995,184313,2289,1,15.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,1796761,719424,-86.582901,36.3083,243472,2289,1,28.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,1797944,719033,-86.5787964,36.3073006,761945,2289,1,16.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,1795476,721156,-86.5873032,36.3130989,15884,2289,1,68.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,1796567,718015,-86.5794983,36.3093987,12335389,2289,1,456.39,0,0,0,0,0,0,3.19,49.56,0,21.4,297.37,14.11,385.63,0,0,0,0
189,1797847,717370,-86.5791016,36.3027,604227,2289,1,63.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,1796325,719542,-86.5842972,36.3086014,265620,2289,1,22.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,1795235,721485,-86.5880966,36.3139992,41875,2289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
