id,x,y
50605277,-122.3031522,47.8010942
50605279,-122.3044944,47.8011078
50605281,-122.3058396,47.8011216
50605284,-122.307189,47.8011359
50605286,-122.3085489,47.8011433
50605320,-122.2923198,47.801363
50605358,-122.310965,47.8006692
50606838,-122.3055724,47.8049894
50606864,-122.3045948,47.805493
50606878,-122.3052224,47.8065577
50608998,-122.3064184,47.804859
50609008,-122.3060331,47.8057142
50611737,-122.3095074,47.7993605
50616356,-122.3173049,47.800802
50617378,-122.291648,47.8039234
50617379,-122.2919795,47.8037261
50622824,-122.292022,47.8148919
50623827,-122.3060896,47.8053373
50623833,-122.3059544,47.8055784
50623843,-122.3103435,47.8035642
50624931,-122.2977277,47.79967
50634685,-122.3056387,47.8047002
50634687,-122.3031246,47.80468
50639601,-122.3139563,47.7970118
50641597,-122.3005101,47.8102329
50643413,-122.2923448,47.8037351
50663551,-122.3112428,47.7990039
50663553,-122.3133176,47.7988478
50663557,-122.2990222,47.7982623
50663563,-122.3031372,47.7981735
50663566,-122.2976943,47.7983425
50663580,-122.3031455,47.7985645
50663582,-122.3044411,47.7985942
50667106,-122.3045175,47.8029312
50667107,-122.3044714,47.7992908
50667116,-122.3044411,47.7964271
50667121,-122.3031034,47.7950665
50667228,-122.3045842,47.8138133
50667231,-122.304607,47.8119937
50667232,-122.3045545,47.8101768
50668405,-122.3156741,47.8066564
50668408,-122.3158296,47.8055526
50668411,-122.3164253,47.8052829
50668420,-122.3164332,47.8042311
50668446,-122.3161402,47.8157451
50668451,-122.3160871,47.8125564
50668484,-122.3161131,47.8139145
50669827,-122.3005977,47.7974357
50669829,-122.3031235,47.7974584
50669840,-122.2912156,47.7977128
50669841,-122.292296,47.7977141
50669843,-122.2954816,47.7977446
50669845,-122.297701,47.7976699
50669859,-122.3166135,47.7976023
50671256,-122.3042264,47.8029285
50673967,-122.3086341,47.8147438
50673968,-122.3140993,47.8147881
50680140,-122.3103793,47.8031739
50682978,-122.2944847,47.803757
50683028,-122.295564,47.8019254
50683509,-122.3085585,47.800746
50689338,-122.2922748,47.8135257
50695186,-122.3009563,47.8074558
50695188,-122.3009666,47.8065139
50695197,-122.3009671,47.8025615
50695198,-122.3009491,47.8005026
50701495,-122.2922885,47.7969691
50701497,-122.2940838,47.7969727
50701499,-122.3014048,47.7965566
50701512,-122.3058074,47.7964202
50701515,-122.294944,47.7968356
50701518,-122.297678,47.7959584
50702480,-122.305842,47.8029435
50702482,-122.3058371,47.7993053
50702484,-122.3058152,47.798174
50702487,-122.3058321,47.7975123
50702489,-122.3058141,47.7967996
50702512,-122.3059274,47.8151732
50702514,-122.3059154,47.8138073
50702515,-122.3059226,47.8119987
50702517,-122.3059083,47.8101891
50702525,-122.3058907,47.8083869
50703212,-122.2996927,47.809048
50703217,-122.2998161,47.806511
50707175,-122.2923029,47.8123928
50708632,-122.2911956,47.8136668
50708657,-122.3031814,47.8138024
50708659,-122.3072541,47.8138254
50708660,-122.3086261,47.8138449
50708662,-122.3140902,47.813885
50710821,-122.2933724,47.8091528
50711615,-122.2940718,47.7961113
50713018,-122.3117002,47.8062634
50713020,-122.3113388,47.8055097
50713022,-122.3109303,47.8049985
50713030,-122.3111312,47.7998257
50713032,-122.3112201,47.7995066
50713034,-122.3111419,47.7970741
50713036,-122.3110813,47.7962523
50713090,-122.3110717,47.8066218
50714917,-122.3132976,47.810268
50714953,-122.3120788,47.804392
50718482,-122.3179339,47.810353
50718484,-122.3153235,47.8102994
50718486,-122.3140223,47.8102705
50718488,-122.3119731,47.8102377
50718491,-122.3086213,47.8102035
50718492,-122.3072398,47.8101974
50718493,-122.3031549,47.8101644
50718974,-122.3080251,47.804654
50718978,-122.3085716,47.8036552
50718981,-122.3085295,47.802967
50718984,-122.3085437,47.7993344
50718986,-122.3085409,47.7970605
50719042,-122.3086617,47.8156474
50719046,-122.3086097,47.8120262
50719440,-122.3165756,47.7964275
50721353,-122.3020453,47.8025729
