id,x,y
50721356,-122.3031541,47.8025914
50721363,-122.2965543,47.8019432
50721367,-122.2977306,47.8019598
50721370,-122.2993486,47.8021432
50721509,-122.3004376,47.8065108
50721516,-122.3004391,47.8028795
50723420,-122.3154428,47.8077516
50723421,-122.3178594,47.8076917
50724889,-122.30318,47.811967
50724892,-122.3072484,47.81199
50726552,-122.2917387,47.7994554
50726555,-122.2923228,47.7996155
50726557,-122.2956879,47.799668
50726569,-122.3031504,47.7992733
50726572,-122.307174,47.7993195
50726575,-122.3135655,47.7994797
50726576,-122.3160006,47.7994989
50738866,-122.2922847,47.7960992
50739625,-122.3153109,47.8092009
50739921,-122.2977414,47.8005738
50739923,-122.2992598,47.8005914
50739931,-122.316125,47.8008031
50739954,-122.2923301,47.8004698
50739979,-122.3020343,47.8005051
50739981,-122.3031252,47.8005271
50742415,-122.3031243,47.8051667
50753567,-122.3178216,47.8066945
50754567,-122.3140257,47.8111676
50757763,-122.2977451,47.8031883
50762318,-122.30312,47.8145204
50771955,-122.3144811,47.8019089
50776387,-122.3139942,47.8063271
50778088,-122.2950478,47.8156911
50785539,-122.3139483,47.7975781
50786942,-122.3064918,47.8029496
50788154,-122.2923314,47.8091259
50788158,-122.2923639,47.8064465
50788165,-122.2923572,47.8046139
50788173,-122.2923142,47.8029305
50788178,-122.292308,47.8019399
50788181,-122.2923269,47.8009563
50788193,-122.2923228,47.7988717
50791889,-122.2977716,47.8158456
50791893,-122.2977504,47.8064844
50791894,-122.2977362,47.8054875
50791898,-122.2977359,47.8044199
50791909,-122.2977228,47.8021214
50791914,-122.2977459,47.8011114
50792063,-122.2978048,47.8100793
50792065,-122.2977564,47.809187
50792067,-122.2978007,47.8078372
50793256,-122.294421,47.8091648
50797435,-122.311723,47.8072776
50797809,-122.2986652,47.8065004
50797813,-122.3031642,47.8065328
50797825,-122.3144005,47.8066706
50798281,-122.3139947,47.8040449
50798361,-122.3141329,47.815691
50801911,-122.3031517,47.8029225
50804303,-122.307204,47.8029562
50806841,-122.2912145,47.8028035
50806843,-122.2917124,47.8029047
50806844,-122.2958205,47.8029852
50806855,-122.3052986,47.8029385
176804767,-122.2916403,47.8134231
296316677,-122.3163973,47.7995038
412119569,-122.3137959,47.7994754
412119570,-122.3153714,47.7994911
412349996,-122.2950791,47.8146058
434530183,-122.2969916,47.8159372
434530202,-122.2959195,47.8159209
434530320,-122.2959234,47.8157909
434530334,-122.2959258,47.8157096
434530384,-122.296994,47.8158115
434530395,-122.2969954,47.8157321
434530436,-122.2950477,47.8157792
434530642,-122.2977609,47.8157482
434530665,-122.2973177,47.8153817
434530678,-122.2970766,47.8152489
434530694,-122.2968177,47.8150791
434530738,-122.2965635,47.8149123
434530752,-122.2963218,47.8147539
434530768,-122.2960787,47.8145945
434530799,-122.2957748,47.814499
434530810,-122.2955104,47.8144948
434530834,-122.2952785,47.8144911
434530841,-122.2948054,47.8144835
434530848,-122.2943421,47.8144756
434530855,-122.2939984,47.8144708
434530861,-122.2939189,47.8144669
434530871,-122.2938068,47.8145884
434530878,-122.2935266,47.814892
434531028,-122.2935046,47.8156575
434531030,-122.2937657,47.8156631
434531033,-122.2939747,47.8156677
434531035,-122.2942854,47.8156745
434531037,-122.2945266,47.8156797
434531039,-122.2954918,47.8157004
434531041,-122.2957514,47.8157059
434531044,-122.2960532,47.8157123
434531046,-122.2962852,47.8157171
434531048,-122.2965493,47.8157227
434531050,-122.2967951,47.8157279
434531052,-122.2970593,47.8157334
434531054,-122.2973003,47.8157385
434531067,-122.2954942,47.8155319
434531079,-122.2945314,47.815544
439993608,-122.3031514,47.8108178
439993610,-122.3084597,47.809313
439993612,-122.313648,47.8077972
439993614,-122.310786,47.8085529
663074959,-122.2941516,47.8138074
765404248,-122.2918291,47.8135555
765404252,-122.2922831,47.8147244
778623224,-122.3139977,47.7977583
837166841,-122.2977371,47.8056512
837166843,-122.2957917,47.8037306
837166846,-122.2948835,47.8061891
837166849,-122.3031245,47.8048854
837166857,-122.2951758,47.8105968
837166864,-122.292807,47.8047048
837166867,-122.3018514,47.8043687
837166874,-122.295891,47.8062905
837166896,-122.2970212,47.8031892
837166897,-122.2948693,47.8064639
837166898,-122.3028677,47.8043868
837166903,-122.2940898,47.7988321
837166905,-122.2958546,47.8045963
837166915,-122.2958929,47.8064771
837166919,-122.2970086,47.8037363
837166924,-122.3004628,47.8043039
837166934,-122.297507,47.8056503
837166942,-122.302946,47.804887
837166949,-122.3152936,47.8083433
837166962,-122.2977379,47.8047165
837166988,-122.2963928,47.8078592
837166990,-122.3132866,47.8090768
837167006,-122.2953508,47.8045362
889676862,-122.2927973,47.8150693
889676876,-122.2926449,47.8154373
889742881,-122.2940774,47.8141073
1306403247,-122.3136515,47.8068463
1306403285,-122.2923195,47.8106158
1544957465,-122.3177034,47.8157867
1544957482,-122.3176917,47.8154948
1703420022,-122.3172611,47.8065859
1703420064,-122.3159818,47.8066649
1703420088,-122.3173115,47.8066863
1703420151,-122.3158345,47.8070167
1703420223,-122.3139023,47.8077093
1703420393,-122.3132534,47.8079407
1703420683,-122.3119366,47.8084084
1703420720,-122.3118733,47.8084297
1703420822,-122.3145485,47.80844
1703420857,-122.310698,47.8087499
1703420889,-122.3099584,47.8089478
1703421148,-122.3059048,47.8099552
1703421248,-122.3085664,47.8102032
1703421502,-122.297799,47.8125785
1703421816,-122.2918372,47.8148847
1703421868,-122.2914796,47.8150584
1703421967,-122.2931817,47.8154576
1703422224,-122.2931789,47.8156927
1703422298,-122.292589,47.8157129
2024892813,-122.2945999,47.8144803
2294998171,-122.3130182,47.8156821
2294998172,-122.3158635,47.8155374
2294998175,-122.3136405,47.8156871
2294998180,-122.3158723,47.8157378
2295006730,-122.3052048,47.8062376
2295995231,-122.292796,47.7988212
2296006656,-122.2977238,47.7995131
2296006664,-122.2970829,47.799507
2296007689,-122.2992378,47.8065049
2296007694,-122.2977397,47.8058151
2296015542,-122.2993006,47.8048971
2296015547,-122.3004537,47.8050981
2297316610,-122.3111019,47.7999744
2297316616,-122.3108846,47.7999741
2372780511,-122.3182554,47.799462
2394843067,-122.2984417,47.7983301
2394843079,-122.2994117,47.7999433
2395644862,-122.2998159,47.8156404
2395644863,-122.3002557,47.815662
2395644864,-122.2998373,47.8156836
2395644868,-122.2978745,47.8155467
2395644871,-122.3003952,47.8164689
2436307014,-122.3109235,47.8071319
2502442493,-122.2922925,47.8149666
2507866821,-122.2923231,47.8011744
2507866832,-122.2913733,47.8018531
2507901732,-122.3111702,47.7976154
2507901733,-122.3085416,47.7976201
2642688397,-122.3178247,47.8067768
2706561669,-122.3180361,47.8103547
2706561676,-122.3171254,47.8103364
2706561680,-122.3154585,47.8103022
2706561682,-122.3154748,47.8109934
2706561700,-122.3140458,47.8120146
2706561702,-122.3140641,47.8127843
2706561705,-122.3155676,47.8139065
2706561714,-122.3148142,47.8140887
2706561716,-122.3148354,47.8138959
2706561718,-122.3165942,47.8139263
2706561721,-122.3180436,47.8139617
2706561733,-122.3150942,47.8157169
2706561769,-122.3094578,47.8156537
2706561803,-122.3086593,47.817197
2747597859,-122.3105558,47.80549
2747597861,-122.3106556,47.8054925
2791756815,-122.3098696,47.8054727
2791756819,-122.3116467,47.8063081
2791756820,-122.3081951,47.8065889
2791768813,-122.2910876,47.8064331
2791768814,-122.2912389,47.8074469
2791768815,-122.2923427,47.8075584
2791768818,-122.2912392,47.8067608
2791768819,-122.2920245,47.8067686
2791768820,-122.2920245,47.8065861
2791768821,-122.2920902,47.806967
2791768823,-122.2914396,47.8067627
2791768826,-122.291559,47.8065841
2791768827,-122.2915589,47.8067639
2791768840,-122.2923379,47.8081353
2791768843,-122.2919892,47.8081328
2791768844,-122.2919954,47.8075467
2791768845,-122.2917104,47.8081309
2791768846,-122.2917233,47.8074963
2791768847,-122.2923485,47.8040001
2791768848,-122.2933463,47.8039847
2791768851,-122.2931776,47.8039873
2791768852,-122.2933358,47.8037452
2791768853,-122.2930914,47.8039886
2791768855,-122.2928437,47.8039924
2791768856,-122.2928296,47.8037401
2791768857,-122.2923602,47.8054238
2791768861,-122.2909612,47.8054238
2791768869,-122.2976906,47.8156524
3210105268,-122.2944907,47.8136844
3210105269,-122.2946291,47.8136329
3210105272,-122.2999578,47.8158726
3210114980,-122.2977152,47.7991724
3474408125,-122.2965431,47.7977607
3748488386,-122.2959227,47.8158131
3748488387,-122.2969936,47.8158316
3748488391,-122.2959207,47.815879
3748488392,-122.2969923,47.8158976
3748488393,-122.2973679,47.8159041
3750764938,-122.2959171,47.8159989
3750764940,-122.2969901,47.8160153
4272274812,-122.3085426,47.7984713
4272274814,-122.3038085,47.7992845
4272274815,-122.3076381,47.7993244
4272274816,-122.3092352,47.7993478
4272274818,-122.3144415,47.7994818
4272274820,-122.3176661,47.799488
4272274821,-122.3150685,47.7994881
4272274822,-122.3124721,47.7994929
4272274823,-122.315686,47.799495
4272274824,-122.312169,47.7994962
4272274826,-122.3168305,47.7995102
4272274827,-122.3025664,47.8065277
4272274828,-122.3038048,47.8065406
4272289710,-122.2923156,47.8155615
4272300199,-122.2923115,47.802489
4272300200,-122.2923613,47.8057381
4272300201,-122.2977439,47.8060804
4272300202,-122.2914817,47.806437
4272300203,-122.2934505,47.8064541
4272300204,-122.2937294,47.806456
4272300206,-122.2923524,47.8072095
4272300210,-122.2923446,47.8073937
4272300213,-122.2923227,47.8102151
4272300214,-122.2922887,47.8129671
4273856576,-122.3163665,47.8066711
4273904449,-122.2923131,47.8027505
4273904450,-122.2923205,47.8030962
4273904451,-122.2923392,47.807935
4273904452,-122.292333,47.8088892
4403543786,-122.3102585,47.8088675
4592919520,-122.2977379,47.8015568
4604760700,-122.3014769,47.8065183
4612987524,-122.3031322,47.8041881
4613196968,-122.3004439,47.8031686
4613196974,-122.3004494,47.803501
4617044655,-122.3004568,47.8039423
4618600789,-122.3122097,47.8111498
4835780469,-122.2915062,47.8067634
4835780476,-122.2919947,47.8076144
4835780494,-122.2916001,47.8081301
4835780499,-122.2920628,47.8075496
4835780500,-122.2917219,47.8075657
4835780501,-122.2922894,47.806967
4835780502,-122.2915589,47.8066866
4835780504,-122.2919898,47.80808
4835780508,-122.2919434,47.8081325
4835782630,-122.2919528,47.8067679
4835782631,-122.2915096,47.8074929
4835782644,-122.2917114,47.8080819
4835782661,-122.2913255,47.8074573
4835788042,-122.2912385,47.8066538
4835788050,-122.2913788,47.806436
4907035103,-122.3045565,47.8102461
