from,to,distance
50605277,50605279,100.289026
50605277,50739981,63.108657
50605279,50605281,100.513446
50605279,50667107,202.105411
50605281,50605284,100.828031
50605281,50702482,202.020334
50605284,50605286,101.603267
50605284,50726572,202.034478
50605286,50683509,44.196011
50605320,2507866821,20.978721
50605358,2297316610,77.95392
50606838,50606864,92.039088
50606838,50608998,64.84406
50606864,50623833,102.012117
50606864,2295006730,94.528311
50606878,2791756820,222.098244
50608998,50609008,99.380399
50608998,50623827,58.596417
50609008,2295006730,84.958361
50611737,50713032,128.989983
50617378,50617379,33.089449
50617379,50617378,33.089449
50622824,889676862,61.177609
50623827,50623833,28.655634
50623833,50609008,16.208409
50623843,50680140,43.493918
50624931,2296006656,17.453832
50634685,50634687,187.832347
50634687,4612987524,54.715141
50643413,50617379,27.30904
50643413,2791768856,36.222509
50643413,4273904450,71.085639
50663551,50663553,155.986956
50663551,2507901732,154.532886
50663553,778623224,131.403551
50663557,50663563,307.613005
50663563,50669829,79.544482
50663566,50669845,74.812454
50663566,2394843067,55.859288
50663566,3210114980,92.319876
50663580,50663563,43.493887
50663580,50663582,96.857115
50663582,50667116,241.038418
50667106,50605279,202.817297
50667106,50806855,58.360649
50667107,50702482,102.049621
50667116,50667121,181.362783
50667116,50701512,102.090237
50667228,50667231,202.394459
50667228,50702514,99.433698
50667231,50702515,98.271253
50667231,4907035103,194.415603
50667232,50718493,104.556891
50668405,50668408,123.319886
50668405,1703420064,23.005666
50668408,50668411,53.668239
50668408,50668420,153.746771
50668411,50668420,116.989264
50668446,1544957465,116.847509
50668451,50668484,151.068861
50668484,2706561718,35.958736
50669827,50663557,149.36449
50669827,50701499,114.879694
50669829,50667121,266.046319
50669829,50669827,188.736171
50669840,50669841,80.72357
50669841,50669843,238.0402
50669841,50701495,82.865455
50669843,3474408125,79.331457
50669845,50701518,190.371493
50669859,50719440,130.699286
50671256,50667106,21.749791
50673967,50673968,408.234971
50673967,50708660,99.983066
50673968,50708662,100.450731
50680140,50605358,282.003971
50683028,50721363,74.01198
50683509,50718984,157.010876
50689338,4272300214,62.13966
50695186,50695188,104.766835
50695188,4604760700,38.124386
