from,to,distance
50695197,50695198,229.007686
50695197,50721353,80.561518
50695198,50739979,81.078201
50701495,50701497,134.140605
50701495,50738866,96.756136
50701497,50701515,66.056156
50701497,50711615,95.814492
50701515,50701518,226.383589
50702480,50605281,202.643194
50702480,50786942,48.550473
50702482,50702484,125.840901
50702482,50726572,99.897572
50702484,50702487,73.609244
50702487,50702489,79.28236
50702489,50701512,42.202211
50702512,50702514,151.926586
50702514,50702515,201.164524
50702514,50708659,100.01191
50702515,50702517,201.277866
50702515,50724892,99.036307
50702517,50667232,101.13584
50702517,1703421148,26.017135
50703212,50703217,282.331538
50703217,50721509,46.428294
50707175,176804767,124.827264
50707175,1306403285,197.652945
50708632,765404248,48.910832
50708657,50667228,104.786504
50708657,50724889,204.144696
50708659,50708660,102.501838
50708659,50724892,204.145113
50708660,50708662,408.154525
50708660,50719046,202.2909
50708662,2706561702,122.44226
50708662,2706561716,55.674416
50710821,50793256,78.341574
50713018,50713020,88.071437
50713018,50776387,171.517174
50713020,50713022,64.530824
50713030,50713032,36.108444
50713032,50663551,55.939155
50713032,4272274824,70.90525
50713034,50713036,91.517815
50713034,50785539,217.049328
50713090,2436307014,57.806564
50713090,2791756819,55.340108
50714917,50718488,98.995175
50714917,837166990,132.495263
50714953,50713022,109.14364
50718482,50723421,296.058743
50718482,2706561676,60.421621
50718484,50718486,97.250402
50718486,50714917,54.134497
50718488,50718491,250.402544
50718491,1703421248,4.101072
50718492,50702517,99.465078
50718493,50641597,197.708917
50718493,50797813,403.929866
50718974,50718978,118.357428
50718978,50718981,76.610499
50718981,50605286,202.8485
50718984,4272274812,95.999416
50718984,4272274816,51.686165
50719042,50673967,100.525184
50719042,2706561769,59.465201
50719046,50718491,202.733947
50721353,50721356,82.863171
50721353,50739979,229.995119
50721356,50605277,166.52801
50721363,50721367,87.900954
50721367,4592919520,44.827499
50721509,50695188,39.519709
50721509,2296015547,157.133934
50721516,50695197,52.981603
50721516,50721370,115.517911
50723420,50723421,180.647417
50723420,837166949,66.749652
50723421,2642688397,101.793911
50724889,50667231,106.632176
50724889,439993608,127.839064
50724892,50718492,199.38522
50724892,50719046,101.762936
50726552,50726555,47.133542
50726555,50726557,251.486138
50726555,50788193,82.730089
50726557,2296006664,105.752603
50726569,50663580,78.83802
50726569,4272274814,49.185063
50726572,4272274815,34.679023
50726575,412119569,17.220683
50726576,296316677,29.643928
50738866,50711615,133.536333
50739625,50718484,122.185667
50739921,50624931,100.5315
50739921,50739923,113.459784
50739923,2394843079,72.973622
50739931,50616356,88.152551
50739954,50726555,95.022155
50739979,50739981,81.540289
50739981,50726569,139.468188
50742415,837166849,31.287949
50754567,50718486,99.781397
50757763,50721516,204.174641
50757763,50791909,118.678986
50762318,50708657,79.992026
50771955,50739931,173.814975
50776387,50798281,253.840563
50778088,434530436,9.799036
50778088,434531039,33.178662
50785539,50639601,62.990264
50786942,50804303,53.212614
50788154,50710821,77.820053
50788154,4273904452,26.327526
50788158,4272300200,78.792919
50788158,4272300203,81.17743
50788158,4835780501,58.160157
50788165,2791768847,68.273769
50788173,50806844,262.021802
50788173,4273904449,20.020895
50788178,50605320,64.172482
50788181,50739954,54.112101
50788181,2507866832,122.577989
50788193,50669841,128.771082
50791889,434530384,58.202811
50791889,434530642,10.862875
50791893,50797809,68.362047
50791893,4272300201,44.938031
50791894,837166962,85.755537
50791898,50757763,136.98798
50791898,837166905,141.908208
50791909,50721367,17.983607
50791909,50721370,121.487554
50791914,50739921,59.79618
50792063,50703212,181.785014
50792063,50792065,99.313018
50792065,50792067,150.169666
50792067,837166988,105.200956
50797435,1306403247,151.841509
50797809,50792067,162.106554
50797809,2296007689,42.778217
50797813,50742415,151.975421
50797813,4272274828,47.862967
50797825,50668405,95.155337
50797825,50776387,48.795122
50798281,50714953,148.246215
50798281,50771955,240.342229
50798361,50673968,100.457538
50798361,2706561733,71.857629
50801911,50671256,80.292276
50801911,50721356,36.82745
50804303,50605284,202.468254
50804303,50718981,99.033676
50806841,50806843,38.86331
50806841,50806843,38.86331
50806841,50806843,38.86331
50806841,50806843,38.86331
50806843,50788173,45.051225
50806844,837166896,92.527761
50806855,50702480,40.600536
176804767,50708632,42.872391
176804767,765404248,20.389607
296316677,4272274826,32.373791
412119569,4272274818,48.240427
412119570,4272274823,23.508931
412349996,50778088,120.736491
434530183,434530202,80.09573
434530183,3748488392,4.40487
434530202,3748488391,4.661242
434530320,434530334,9.044471
434530320,434530436,65.419208
434530334,434531044,9.520291
434530384,434530320,79.99619
434530384,434530395,8.831984
434530395,434531052,4.774902
434530642,2791768869,11.878946
434530665,434530678,23.290888
434530678,434530694,27.030163
434530694,434530738,26.545921
434530738,434530752,25.225225
434530752,434530768,25.377787
434530768,434530799,25.06132
434530799,434530810,19.75412
434530810,434530834,17.325991
434530834,434530841,35.346956
434530834,434531067,116.87999
434530841,434531079,119.717671
434530841,2024892813,15.35336
434530848,434530855,25.677243
434530855,434530861,5.95385
434530861,434530871,15.897633
434530871,434530878,39.727889
434530878,434531028,85.159553
434531028,434530878,85.159553
434531028,434531030,19.511619
434531030,434530871,119.574268
434531030,434531033,15.618683
434531033,434530855,133.138474
434531033,434531035,23.218637
434531035,434530848,133.41639
434531035,434531037,18.024611
434531037,50778088,38.949284
434531037,434531079,15.09766
434531039,434531041,19.399271
434531039,434531067,18.742481
434531041,434530334,13.0325
434531041,434530799,134.250345
434531044,434530768,124.343296
434531044,434531046,17.336387
434531046,434530752,107.168001
434531046,434531048,19.735555
434531048,434530738,90.143997
434531048,434531050,18.367996
434531050,434530395,14.967767
434531050,434530694,72.183334
434531052,434530678,53.90461
434531052,434531054,18.009306
434531054,434530642,34.419276
434531054,434530665,39.706802
434531067,434530810,115.359095
434531079,2024892813,118.421944
439993608,50718493,72.675705
439993608,1703421502,445.190638
439993608,4907035103,122.71757
439993610,1703421148,203.777872
439993610,1703421248,99.333893
439993612,1703420393,33.521068
439993612,1703420393,33.521068
439993612,1703420393,33.521068
439993612,1703420393,33.521068
439993614,50797435,158.176738
439993614,1703420857,22.876403
663074959,889742881,33.814038
765404248,50689338,33.455485
765404252,50689338,133.328354
778623224,50785539,20.379992
837166841,50791894,18.207862
837166841,837166934,17.189875
837166843,50806844,82.935965
837166846,837166864,226.538234
837166846,837166864,226.538234
837166846,837166864,226.538234
837166846,837166864,226.538234
837166849,50634687,22.845874
837166849,837166942,13.336197
837166864,50788165,35.090952
837166867,837166924,103.987842
837166867,837166942,100.051323
837166874,837166915,20.755305
837166896,50757763,54.081489
837166897,837166846,30.583378
837166897,837166915,76.48076
837166898,837166867,75.951075
837166903,2295995231,96.673421
837166903,2295995231,96.673421
837166903,2295995231,96.673421
837166903,2295995231,96.673421
837166905,837167006,38.226107
837166915,50791893,138.764397
837166919,837166843,90.913885
837166919,837166896,60.859165
837166924,4617044655,40.221912
837166934,837166874,140.158168
837166934,837166874,140.158168
837166934,837166874,140.158168
837166934,837166874,140.158168
837166942,837166898,55.942036
837166949,50739625,95.39639
837166949,1703420822,56.68931
837166962,50791898,32.990046
837166962,837166905,141.328099
837166988,50793256,206.842357
837167006,837166843,95.466157
889676876,889676862,42.484573
889676876,1703422298,30.93699
889742881,1703421967,164.415545
1306403247,50797825,59.267323
1306403285,837166857,213.369539
1306403285,4272300213,44.569002
1544957465,1544957482,32.478702
1703420022,1703420088,11.78474
1703420064,1703420151,40.647173
1703420064,4273856576,28.746661
1703420088,50753567,38.117089
1703420088,2642688397,39.637168
1703420151,1703420223,163.610678
1703420223,439993612,21.364904
1703420393,439993612,33.521068
1703420393,1703420683,111.274944
1703420683,1703420720,5.288861
1703420720,1703420857,94.744264
1703420822,50718486,207.359236
1703420822,1703420223,94.527731
1703420857,4403543786,35.340515
1703420889,439993610,119.093931
1703421148,50702525,174.439316
1703421248,50718492,99.096859
1703421502,50641597,330.265095
1703421502,3210105269,264.225818
1703421816,50622824,13.826211
1703421868,1703421816,32.96465
1703421967,889676876,40.15752
1703421967,1703422224,26.150129
1703422224,434530436,139.912483
1703422298,1703422224,44.117104
2024892813,434530848,19.262729
2294998171,2294998175,46.483167
2294998175,50798361,36.780111
2294998180,50668446,20.026005
2294998180,2294998172,22.29943
2295006730,50606878,35.627793
2295995231,50788193,35.798367
2296006656,3210114980,37.900232
2296006664,2296006656,47.888798
2296007689,50703217,43.206423
2296007689,2296007694,135.688413
2296007694,837166841,18.231018
2296015542,837166962,118.458722
2296015547,837166924,88.338508
2296015547,2296015542,88.997015
2297316610,50713030,16.683586
2297316610,2297316616,16.23517
2394843067,50663557,44.023007
2394843067,2394843079,193.513563
2395644862,2395644868,145.378255
2395644863,2395644862,32.936601
2395644864,2395644862,5.06385
2395644868,889742881,325.679702
2395644868,2791768869,18.079944
2395644871,2395644863,90.351245
2395644871,3210105272,73.933642
2436307014,50797435,61.884305
2502442493,765404252,26.948147
2502442493,1703421868,61.569176
2507866821,50788181,24.260108
2507866821,2507866832,103.604988
2507866832,50788178,70.495879
2507901732,50713034,60.243891
2507901732,2507901733,196.400203
2507901733,50718986,62.242234
2642688397,50753567,9.15685
2706561669,50718482,7.636485
2706561676,2706561680,124.572396
2706561680,50718484,10.089058
2706561680,2706561682,76.889229
2706561700,50754567,94.220601
2706561702,2706561700,85.621761
2706561705,50668484,40.754724
2706561714,2706561716,21.502806
2706561716,2706561705,54.702901
2706561718,2706561721,108.331483
2706561733,2294998180,58.163031
2706561769,2294998171,265.946571
2706561769,2706561803,181.720848
2706561803,50719042,172.356298
2747597859,2747597861,7.460749
2747597861,50713020,51.074335
2791756815,2747597859,51.298729
2791756819,50713018,6.379046
2791756820,2436307014,212.579928
2791768813,4835788042,27.01225
2791768813,4835788050,21.756112
2791768814,4835782661,6.57182
2791768815,4272300210,18.319514
2791768818,2791768814,76.312337
2791768818,2791768823,14.972021
2791768819,2791768821,22.606496
2791768820,2791768819,20.298792
2791768820,2791768826,34.775189
2791768821,4835780501,14.880827
2791768823,2791768821,53.651623
2791768823,4835780469,4.975845
2791768826,4835780502,11.400694
2791768827,4835782630,29.428968
2791768840,2791768843,26.049816
2791768840,4273904451,22.278831
2791768843,4835780504,5.872917
2791768843,4835780508,3.421481
2791768844,4835780499,5.045244
2791768845,4835780494,8.240031
2791768845,4835782644,5.450598
2791768846,2791768844,21.085298
2791768847,50643413,29.476254
2791768847,2791768855,37.004927
2791768848,2791768851,12.606428
2791768848,2791768852,26.650235
2791768851,2791768848,12.606428
2791768852,50682978,85.841563
2791768853,2791768851,6.441386
2791768855,2791768853,18.509806
2791768855,2791768856,28.082147
2791768856,2791768852,37.821233
2791768857,50788165,90.082423
2791768857,2791768861,104.512526
2791768869,434530665,41.015735
3210105268,663074959,28.787082
3210105269,3210105268,11.818493
3210105272,2395644864,22.867394
3210114980,50663566,92.319876
3474408125,50669845,87.101434
3748488386,434530320,2.469776
3748488386,3748488387,80.012208
3748488387,434530384,2.235847
3748488387,3748488393,29.096281
3748488391,3748488386,7.331332
3748488391,3748488386,7.331332
3748488391,3748488386,7.331332
3748488391,3748488386,7.331332
3748488392,3748488387,7.341575
3748488392,3748488391,80.064659
3748488393,3748488392,28.062914
3750764938,434530202,8.6775
3750764938,3750764940,80.163065
3750764940,434530183,8.687493
4272274812,2507901733,94.675818
4272274814,50667107,49.532861
4272274815,50718984,67.670077
4272274816,50611737,20.38612
4272274818,4272274821,46.850734
4272274820,2372780511,44.123665
4272274821,412119570,22.633239
4272274822,50726575,81.705157
4272274823,50726576,23.508929
4272274824,4272274822,22.648695
4272274826,4272274820,62.479568
4272274827,50797813,44.661399
4272274828,50606878,105.916827
4272289710,2502442493,66.19099
4272300199,50788178,61.074897
4272300200,2791768857,34.958509
4272300201,2296007694,29.509994
4272300202,50788158,65.912076
4272300203,4272300204,20.835929
4272300204,837166897,85.159253
4272300206,50788158,84.869981
4272300210,4272300206,20.49616
4272300213,50788154,121.14938
4272300214,50707175,63.886044
4273856576,1703420088,70.614917
4273904449,4272300199,29.085911
4273904450,50788173,18.436199
4273904451,2791768815,41.888624
4273904452,2791768840,83.854273
4403543786,1703420889,24.131228
4592919520,50791914,49.543779
4604760700,4272274827,81.396271
4612987524,50634685,195.723392
4612987524,50801911,140.775487
4613196968,50721516,32.15751
4613196974,4613196968,36.97389
4613196974,4613196968,36.97389
4613196974,4613196968,36.97389
4613196974,4613196968,36.97389
4617044655,2296015542,136.890346
4617044655,4613196974,49.08726
4618600789,50754567,135.664049
4835780469,2791768827,3.937253
4835780476,2791768844,7.530199
4835780499,2791768815,20.932015
4835780500,2791768846,7.719811
4835780501,4272300206,27.379876
4835780502,2791768827,8.59779
4835780504,4835780476,51.788238
4835780508,2791768845,17.406306
4835782630,2791768819,5.356788
4835782631,2791768846,15.968336
4835782644,4835780500,57.420351
4835782661,4835782631,14.31136
4835788042,2791768818,11.901324
4835788042,4835788050,26.395149
4835788050,4272300202,7.687816
4907035103,50667232,7.709427
